"INSTNM","STABBR","ZIP","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"The College of Westchester","NY","10606-1200",2,44,40,50
"Yeshiva Karlin Stolin","NY","11204-1545",2,50,50,
"Yeshiva Derech Chaim","NY","11218-0000",2,18,18,
"Yeshiva of Nitra Rabbinical College","NY","10918",2,21,21,
"Yeshiva Shaar Hatorah","NY","11418",2,52,52,
"Yeshiva University","NY","10033-3299",2,80,74,87
"Yeshivath Viznitz","NY","10952",2,71,71,
"Yeshivath Zichron Moshe","NY","12779",2,0,0,
"Appalachian State University","NC","28608",5,73,69,76
"Barton College","NC","27893-7000",5,52,49,53
"Belmont Abbey College","NC","28012-1802",5,46,41,52
"Bennett College","NC","27401-3239",5,22,,22
"Brevard College","NC","28712",5,33,27,39
"Cabarrus College of Health Sciences","NC","28025-3959",5,,,
"Campbell University","NC","27506",5,55,53,57
"Catawba College","NC","28144",5,60,57,62
"Chowan University","NC","27855",5,29,21,35
"Davidson College","NC","28035",5,90,87,93
"Duke University","NC","27708",5,96,94,97
"East Carolina University","NC","27858-4353",5,66,60,70
"Elizabeth City State University","NC","27909",5,40,36,43
"Elon University","NC","27244-2010",5,83,78,87
"Fayetteville State University","NC","28301-4298",5,37,31,41
"Gardner-Webb University","NC","28017-0997",5,46,44,47
"Greensboro College","NC","27401-1875",5,30,23,40
"Guilford College","NC","27410-4108",5,55,48,63
"Heritage Bible College","NC","28334",5,25,25,
"High Point University","NC","27268",5,70,67,72
"Johnson C Smith University","NC","28216-5398",5,39,31,45
"Lees-McRae College","NC","28604",5,40,30,49
"Lenoir-Rhyne University","NC","28601",5,48,42,53
"Livingstone College","NC","28144",5,23,19,27
"Mars Hill University","NC","28754",5,34,31,36
"Meredith College","NC","27607-5298",5,68,,68
"Methodist University","NC","28311-1420",5,39,27,59
"Miller-Motte College-Wilmington","NC","28405",5,19,16,19
"Montreat College","NC","28757-1267",5,28,25,31
"University of Mount Olive","NC","28365-0919",5,47,45,49
"North Carolina A & T State University","NC","27411",5,53,44,60
"University of North Carolina at Asheville","NC","28804-8510",5,65,60,68
"University of North Carolina at Chapel Hill","NC","27599",5,92,90,93
"University of North Carolina at Charlotte","NC","28223-0001",5,66,62,70
"University of North Carolina at Greensboro","NC","27402-6170",5,58,53,60
"North Carolina Central University","NC","27707",5,51,46,53
